repo,季均代码参与者数量,季均代码贡献者数量,日均代码提交数量,季均代码提交关联PR的比率,季均PR关联issue的比率,日均PR创建数量,季均代码审查比率,季均代码合并比率,日均提交代码行数,proj_id,季均bug类issue处理时间平均数,季均bug类issue处理时间中位数,日均关闭PR数量,季均issue评论频率,季均issue首次响应时间平均数,季均issue首次响应时间中位数,季均PR处理时间平均数,季均PR处理时间中位数,日均更新issue数量,季均代码审查评论频率,季均最近版本发布次数,季均组织数量,季均组织贡献者数量,日均组织代码提交次数,季均组织持续贡献时间,季均观察贡献者数量,日均观察者贡献次数,季均issue贡献者数量,日均issue贡献次数,日均代码贡献次数,季均个人贡献者数量,日均个人贡献次数,季均访客贡献者数量,日均访客贡献次数,季均常客贡献者数量,日均常客贡献次数,季均核心贡献者数量,日均核心贡献次数
https://github.com/aravindavk/logwatcher,0,0,0,0,0,0,0,0,0,gitee:aravindavk/logwatcher,0,0,0.015384615,0,0,0,0,0,0.008547009,0,0,0,0,0,0,0,0,0.769230769,0.008547009,0,0.769230769,0.008547009,0,0,0,0,0.769230769,0.008547009
https://github.com/AlbinSjoegren/SPV,0,0,0,0,0,0,0,0,0,gitee:AlbinSjoegren/SPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/hasheddan/fpgk8s,0.222222222,0,0,0,0,0.001234568,0,0,0,gitee:hasheddan/fpgk8s,0,0,0,0,0,0,88.95,88.95,0,0,0,0,0,0,0,0.111111111,0.001234568,0,0,0.003703704,0.111111111,0.002469136,0,0,0.111111111,0.001234568,0.111111111,0.002469136
https://github.com/bk-rs/fbthrift-transport,0,0,0,0,0,0,0,0,0,gitee:bk-rs/fbthrift-transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/Andreas02-dev/json_keyquotes_convert_rs,0,0,0,0,0,0,0,0,0,gitee:Andreas02-dev/json_keyquotes_convert_rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/aleph-lang/alegen,0,0,0,0,0,0,0,0,0,gitee:aleph-lang/alegen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/john-steidley/roller,0,0,0,0,0,0,0,0,0,gitee:john-steidley/roller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/CosmWasm/serde-json-wasm,0.230769231,0,0,0,0,0.001709402,0,0,0,gitee:CosmWasm/serde-json-wasm,0,0,0,0,0,0,89.53,89.53,0.001709402,0,0,0,0,0,0,0.153846154,0.001709402,0.076923077,0.000854701,0.000854701,0.076923077,0.000854701,0.076923077,0.000854701,0,0,0.076923077,0.001709402
https://github.com/AljoschaMeyer/multi-producer-sink,0,0,0,0,0,0,0,0,0,gitee:AljoschaMeyer/multi-producer-sink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/kaegi/alass,1.153846154,0,0,0,0,0.012820513,0,0,0,gitee:kaegi/alass,0,0,0,0,0,0,89.85846154,89.85846154,0.001709402,0,0,0,0,0,0,60,0.678632479,0.307692308,0.003418803,0.011965812,46.30769231,0.517094017,58.92307692,0.666666667,0.230769231,0.002564103,1.153846154,0.012820513
https://github.com/AhoyISki/parsec,0,0,0,0,0,0,0,0,0,gitee:AhoyISki/parsec,0,0,0,0,0,0,0,0,0,0,0.615384615,0,0,0,0,3.769230769,0.041880342,0,0,0,1.923076923,0.021367521,2.769230769,0.030769231,0,0,1,0
https://github.com/akiradeveloper/userland-io,0,0,0,0,0,0,0,0,0,gitee:akiradeveloper/userland-io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/Aeradriel/rs_diesel_derive_model,0,0,0,0,0,0,0,0,0,gitee:Aeradriel/rs_diesel_derive_model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/andeya/pilota-build,0,0,0,0,0,0,0,0,0,gitee:andeya/pilota-build,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/AndriBaal/shura,0,0,0,0,0,0,0,0,0,gitee:AndriBaal/shura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.230769231,0.069230769,0,0,0,4.384615385,0.048717949,5.230769231,0.058119658,0,0,1,0
https://github.com/fakeshadow/shin-hentai,0,0,0,0,0,0,0,0,0,gitee:fakeshadow/shin-hentai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0.008641975,0,0,0,0.777777778,0.008641975,0,0,0,0,0.777777778,0
https://github.com/koba04/kintone-rs,0,0,0,0,0,0,0,0,0,gitee:koba04/kintone-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/aki-akaguma/flood-tide-gen,0,0,0,0,0,0,0,0,0,gitee:aki-akaguma/flood-tide-gen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/alvarium-hex/confluence-rs,0,0,0,0,0,0,0,0,0,gitee:alvarium-hex/confluence-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/ju6ge/ltc2983,0,0,0,0,0,0,0,0,0,gitee:ju6ge/ltc2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/bazald/rete,0,0,0,0,0,0,0,0,0,gitee:bazald/rete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/ischeinkman/scsi-rs,0,0,0,0,0,0,0,0,0,gitee:ischeinkman/scsi-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/monocasa/rs64-rt,0,0,0,0,0,0,0,0,0,gitee:monocasa/rs64-rt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/alanesmizi/cgtun,0,0,0,0,0,0,0,0,0,gitee:alanesmizi/cgtun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/acheronfail/rotp,0,0,0,0,0,0,0,0,0,gitee:acheronfail/rotp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.011111111,0,0,0,1,0.011111111,0,0,0,0,1,0
